N,DE,P.DE,FDR
1644,45,1.558032696146361e-12,9.60682960443846e-9
1343,33,4.876920955047554e-9,1.5035547304411609e-5
771,23,1.3721425132859824e-7,2.820210245640456e-4
1452,32,2.074163458941469e-7,3.1973229719582744e-4
1949,38,4.3271721461602417e-7,5.33626869064481e-4
926,24,7.340762807938884e-7,6.789252878536666e-4
118,8,8.270612173202825e-7,6.789252878536666e-4
271,12,1.0263690496506415e-6,6.789252878536666e-4
343,14,1.0615612932369115e-6,6.789252878536666e-4
871,23,1.1010789618126283e-6,6.789252878536666e-4
575,18,1.5239884753543195e-06,8.542648126395212e-4
1264,28,3.179011890543801e-6,0.0016334822764244234
426,15,3.5254524680637607e-6,0.0016721492244677807
1066,24,4.0354033509200735e-6,0.001777306932983798
505,16,4.863355127660067e-6,0.001999163181143465
1113,25,6.639627440978661e-6,0.002558746425067152
983,23,7.470081388267233e-6,0.00270944246117975
1514,30,8.481844064757782e-6,0.0028688682947399574
413,14,8.840171521255139e-6,0.0028688682947399574
841,21,1.0347230591421931e-5,0.0031900511913353813
650,18,1.185523696699296e-5,0.0034809233875465993
304,12,1.2482904859244135e-5,0.0034986177891863333
129,8,1.422800707256571e-5,0.0038143431134539203
1330,27,1.654073456779313e-5,0.004249590389375518
176,9,1.801994851662353e-5,0.004444440102140027
494,15,2.237846595153829e-5,0.0049431273721930865
834,20,2.3282753453580524e-5,0.0049431273721930865
834,20,2.3282753453580524e-5,0.0049431273721930865
1371,27,2.3717801573056472e-5,0.0049431273721930865
695,18,2.4050246702204443e-5,0.0049431273721930865
219,9,2.9350077366846093e-5,0.005837825065934613
1358,27,3.1760324365860405e-5,0.006065254068268411
22,4,3.246081483179656e-5,0.006065254068268411
1614,29,3.3962331145970235e-5,0.006137378323422529
108,7,3.483753508267734e-5,0.006137378323422529
203,9,4.834302545541821e-5,0.008280085971058575
356,12,5.6070496022278315e-5,0.00923073190287188
941,21,5.688741685195126e-5,0.00923073190287188
48,5,6.047019417225577e-5,0.009344165136631078
1030,22,6.061735411372739e-5,0.009344165136631078
1670,30,6.294357825863735e-5,0.009466100086408729
1273,25,6.799451685863494e-5,0.009969907037719649
560,15,6.952740879369849e-5,0.009969907037719649
568,15,8.473410976204756e-5,0.011685320411914798
11,3,8.565685273722119e-5,0.011685320411914798
1379,26,8.717559827247498e-5,0.011685320411914798
219,9,1.0737042590031375e-4,0.013851289163603337
857,19,1.0782709695961079e-4,0.013851289163603337
274,10,1.1084279112659508e-4,0.013948094899726229
277,10,1.1670054631771849e-4,0.014300497206249927
88,6,1.1828176411267374e-4,0.014300497206249927
587,15,1.2933380487964669e-4,0.015336004632459644
58,5,1.456667589855143e-4,0.016946815771786437
14,3,1.6085637834733428e-4,0.01825622173868299
34,4,1.6284336614135004e-4,0.01825622173868299
138,7,1.807418161268544e-4,0.019900964968539006
14,3,1.8923190993755677e-4,0.020470244853946933
149,7,1.999235547743721e-4,0.020530663193044876
1447,26,2.0111998251876674e-4,0.020530663193044876
765,17,2.0296352822793753e-4,0.020530663193044876
826,18,2.031090585104991e-4,0.020530663193044876
35,4,2.093987091979459e-4,0.020825039369589265
66,5,2.1438991277224827e-4,0.020982987335772744
15,3,2.3314527758958923e-4,0.022462090337771988
485,13,2.402026554007966e-4,0.022785993433866336
304,10,2.51708227680237e-4,0.023515650482974867
430,12,2.702123166137331e-4,0.024643480784562848
16,3,2.7177370959297336e-4,0.024643480784562848
552,14,2.889353951415285e-4,0.025656945024896002
626,15,2.9127248649735973e-4,0.025656945024896002
496,13,2.989798177908383e-4,0.0259649233309621
39,4,3.101215120851652e-4,0.026558461715515673
39,4,3.180584782995035e-4,0.026653075450939125
943,19,3.1987148611247086e-4,0.026653075450939125
17,3,3.4903970121192635e-4,0.028695717302303175
156,7,3.597383612571577e-4,0.029186141256732034
377,11,3.6593122068428693e-4,0.029303011775835237
263,9,3.8459934179109354e-4,0.030403071044665168
788,17,4.0958306695211257e-4,0.03139536190385523
788,17,4.0958306695211257e-4,0.03139536190385523
75,5,4.189851661313022e-4,0.03139536190385523
929,19,4.220253992625642e-4,0.03139536190385523
736,16,4.271295782194507e-4,0.03139536190385523
43,4,4.277019785799286e-4,0.03139536190385523
268,9,4.342889246070936e-4,0.03150382951914517
212,8,4.500068687508737e-4,0.0322644459618359
20,3,4.7365341127725887e-4,0.033569504987765265
76,5,4.8206390479967927e-4,0.033777341329486614
887,18,4.929353104523814e-4,0.03415100139606049
592,14,5.153896069586461e-4,0.03530991462785568
468,12,5.329072759731885e-4,0.03610886004011737
219,8,5.458635608170893e-4,0.03654947852638487
674,15,5.512652453703848e-4,0.03654947852638487
223,8,5.852577353571796e-4,0.03839041698098266
296,9,6.12523428291512e-4,0.03975599430363645
1393,24,6.505832570830082e-4,0.04144320650614489
294,9,6.541140498719821e-4,0.04144320650614489
129,6,6.58682166331852e-4,0.04144320650614489
125,6,6.813066019238998e-4,0.0424337020955835
180,7,6.91053201952172e-4,0.04261034043237092
